"gene","coef","gene_symbol","fold"
"ENSG00000006282",-0.028456090060711,"SPATA20",1
"ENSG00000064270",-0.0390310748900846,"ATP2C2",1
"ENSG00000075223",-0.0293801715099705,"SEMA3C",1
"ENSG00000108509",-0.0443921382624418,"CAMTA2",1
"ENSG00000108984",0.0251566898362337,"MAP2K6",1
"ENSG00000110848",0.163596377308252,"CD69",1
"ENSG00000128606",-0.042702938898105,"LRRC17",1
"ENSG00000133101",0.441452510964281,"CCNA1",1
"ENSG00000158769",-0.0837484835895617,"F11R",1
"ENSG00000162836",-0.210998837033115,"ACP6",1
"ENSG00000170323",-0.357134894360438,"FABP4",1
"ENSG00000170324",-0.0665607768619488,"FRMPD2",1
"ENSG00000185507",0.0366034148141395,"IRF7",1
"ENSG00000185897",0.0298161138996098,"FFAR3",1
"ENSG00000197903",0.23814694945943,"H2BC12",1
"ENSG00000203697",-0.0462426361064923,"CAPN8",1
"ENSG00000259094",-0.0336151737106829,"AC013457.1",1
"ENSG00000265148",0.0293688484032622,"TSPOAP1-AS1",1
"ENSG00000268362",-0.0379970276680297,"AC092279.2",1
"ENSG00000272168",-0.138032738470629,"CASC15",1
"ENSG00000075223",-0.120176447974654,"SEMA3C",2
"ENSG00000110848",0.043032839096175,"CD69",2
"ENSG00000115523",0.063298398226041,"GNLY",2
"ENSG00000138207",-0.0564125215900273,"RBP4",2
"ENSG00000163735",-0.139392060709741,"CXCL5",2
"ENSG00000170323",-0.051009303768007,"FABP4",2
"ENSG00000170324",-0.0223427473876423,"FRMPD2",2
"ENSG00000175073",0.329230871776283,"VCPIP1",2
"ENSG00000185507",0.0716299932146705,"IRF7",2
"ENSG00000185885",0.115393025385368,"IFITM1",2
"ENSG00000185897",0.153042057970879,"FFAR3",2
"ENSG00000186417",-0.0156065721798011,"GLDN",2
"ENSG00000187608",0.045235214409311,"ISG15",2
"ENSG00000006282",-0.229176428695167,"SPATA20",3
"ENSG00000114737",0.247401424866915,"CISH",3
"ENSG00000115523",0.269528810642873,"GNLY",3
"ENSG00000117528",-0.194542827254804,"ABCD3",3
"ENSG00000122861",-0.00767155542411026,"PLAU",3
"ENSG00000124380",0.0135900715403782,"SNRNP27",3
"ENSG00000128606",-0.0541881083534645,"LRRC17",3
"ENSG00000132952",0.0574126971220952,"USPL1",3
"ENSG00000133101",0.367415033063377,"CCNA1",3
"ENSG00000134294",0.0655714848125015,"SLC38A2",3
"ENSG00000138758",-0.0939236171639191,"SEPTIN11",3
"ENSG00000150907",-0.187077436412308,"FOXO1",3
"ENSG00000152766",0.138683117242841,"ANKRD22",3
"ENSG00000156042",-0.0661084445081735,"CFAP70",3
"ENSG00000158769",-0.0754113198073683,"F11R",3
"ENSG00000166167",-0.116310050760871,"BTRC",3
"ENSG00000170323",-0.281934042085977,"FABP4",3
"ENSG00000176153",-0.0938573222244417,"GPX2",3
"ENSG00000181963",0.155587242706495,"OR52K2",3
"ENSG00000183943",0.0132388592747338,"PRKX",3
"ENSG00000185507",0.000253400508096092,"IRF7",3
"ENSG00000185897",0.132050728920832,"FFAR3",3
"ENSG00000189068",0.286239302443703,"VSTM1",3
"ENSG00000253729",-0.0365642085196539,"PRKDC",3
"ENSG00000259094",-0.0926017908773885,"AC013457.1",3
"ENSG00000259291",-0.0451687562488085,"ZNF710-AS1",3
"ENSG00000260257",-0.411604843045721,"AL035071.1",3
"ENSG00000266490",-0.360023285005612,"AC127024.5",3
"ENSG00000272168",-0.0920961694790282,"CASC15",3
"ENSG00000272660",-0.0377958807057109,"AC090425.2",3
"ENSG00000274213",0.0663735997537748,"AC015912.3",3
"ENSG00000064270",-0.30677569715118,"ATP2C2",4
"ENSG00000108984",0.0103691886403206,"MAP2K6",4
"ENSG00000114737",0.216131617267341,"CISH",4
"ENSG00000115523",0.11596030866019,"GNLY",4
"ENSG00000128606",-0.336633147928774,"LRRC17",4
"ENSG00000163735",-0.075098805103897,"CXCL5",4
"ENSG00000167461",0.234105955140839,"RAB8A",4
"ENSG00000170323",-0.412632421514303,"FABP4",4
"ENSG00000182141",-0.0488024215395498,"ZNF708",4
"ENSG00000185507",0.0016318026183768,"IRF7",4
"ENSG00000185897",0.226259867630846,"FFAR3",4
"ENSG00000187608",0.0482229045875373,"ISG15",4
"ENSG00000197724",0.0154359247738936,"PHF2",4
"ENSG00000225697",-0.00743347285697634,"SLC26A6",4
"ENSG00000259094",-0.104247081138919,"AC013457.1",4
"ENSG00000273173",-0.227438795312786,"SNURF",4
"ENSG00000006282",-0.484007109489504,"SPATA20",5
"ENSG00000110848",0.102073645318225,"CD69",5
"ENSG00000115461",-0.140661711755972,"IGFBP5",5
"ENSG00000115523",0.0462354694676957,"GNLY",5
"ENSG00000149021",-0.00133656252373023,"SCGB1A1",5
"ENSG00000152766",0.0149636125989805,"ANKRD22",5
"ENSG00000170323",-0.316614556168224,"FABP4",5
"ENSG00000185507",0.171287861862611,"IRF7",5
"ENSG00000185897",0.0950439037041153,"FFAR3",5
"ENSG00000204264",0.0931980623639594,"PSMB8",5
"ENSG00000273173",-0.018948456333792,"SNURF",5
